127.0.0.1 - - [05/Dec/2018:15:35:48 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:35:50 +0530] "GET /QueryTrain/checkroute.jsp HTTP/1.1" 200 2523
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:35:50 +0530] "GET /QueryTrain/css/style.css HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:35:51 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:35:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:00 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Puttur&submit=SUBMIT HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:00 +0530] "GET /QueryTrain/checkroute.jsp?source=Mysore&destination=Puttur&submit=SUBMIT HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:00 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:07 +0530] "GET /QueryTrain/checktrains.jsp?source=Mysore&destination=Puttur&assignid=6 HTTP/1.1" 200 6413
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:07 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:10 +0530] "GET /QueryTrain/checktrains.jsp?source=Mysore&destination=Puttur&assignid=7 HTTP/1.1" 200 6059
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:10 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:18 +0530] "GET /QueryTrain/checkroute.jsp HTTP/1.1" 200 2523
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:36:18 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:45:15 +0530] "GET /QueryTrain/checkroute.jsp?source=Bangalore&destination=Mysore&submit=SUBMIT HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [05/Dec/2018:15:45:16 +0530] "GET /QueryTrain/images/saparation.gif HTTP/1.1" 404 1064
